what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1468870288693
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1468870288694
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1468870288731
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1468870288933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468870289032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468870293098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468870294020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468870296063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468870299825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1468870304513
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468870305504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468870310378
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1468870311917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1468870314802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870317317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870327044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870328309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870371822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468870376802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1468870381305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870381999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870388332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870391678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870402958
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468870403995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468870405868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468870409181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1468870410291
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1468870412523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870413882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870414075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468870417357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468870419172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468870420048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468870420603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1468870421924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1468870423821
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870425831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870427543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1468870428145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870429008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870431920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870437233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870437806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870438624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870448284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468870452444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870458191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870464112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1468870485451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870486175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870615940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870640389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870678868
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468870680899
started,bundle,org.eclipse.mylyn.context.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.ui",1468870681080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870681831
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1468870683795
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1468870683818
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1468870684059
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1468870684188
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1468870684277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870684718
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1468870684746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468870684746
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1468870684748
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468870684822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870689355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870705124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870708005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870710405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870712053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870716125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870720103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870733366
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468870733469
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468870733544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870734461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870749048
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468870751094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870753948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870759429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870768677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870774737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870779964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870819191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870820383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870834404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870836426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870843121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870845337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870847940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870848339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870895508
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468870896847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1468870898682
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1468870902114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870903375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870903585
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1468870908637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870909767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870909989
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1468870911833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1468870913615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870921770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870922527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468870925764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1468870925778
